post_id,post_image,post_text,post_views
63418,[],"Олег, спасибо за обратную связь. Мы ценим каждое мнение, устраивающее нас.",{'count': 128844}
66609,[],"Олег, вы же понимаете что ваш аванс [ДАННЫЕ УДАЛЕНЫ]? И вообще, [ДАННЫЕ УДАЛЕНЫ]. Наша работа [ДАННЫЕ УДАЛЕНЫ], [ДАННЫЕ УДАЛЕНЫ]. Мы возьмёмся за вашу работу, когда [ДАННЫЕ УДАЛЕНЫ]. Просим Вас прислать ещё один аванс, ибо [ДАННЫЕ УДАЛЕНЫ] и [ДАННЫЕ УДАЛЕНЫ]. Всё таки наши сотрудники [ДАННЫЕ УДАЛЕНЫ]. Ждём ответа, Олег, [ДАННЫЕ УДАЛЕНЫ].",{'count': 4932}
66600,[],"Олег, Лаонардо до Винчи писал губы на картине ""Мона Лиза"" в течение двеннадцати лет. А вы проект за год хотите от нас..",{'count': 7656}
66593,[],"Послушайте, Олег. 
Нам кажется, вы как-то неверно истолковали мои слова про слёзы. Тот аванс, который мы получили от вас сегодня, это, конечно, тоже слёзы - как говорится «кот наплакал». Ну вот пусть тогда этот самый кот и продолжит делать вам ваш проект за эти деньги!",{'count': 9231}
66584,[],"Олег, в нашем случае, слезы - это тоже часть работы, так что не отвлекайте меня, пожалуйста",{'count': 17061}
66578,[],"Олег, ведь вы ещё и мужчина! А как известно мужчину красят не слова, а поступки. Потому если захотите напомнить мне о сроках, то делайте это через систему банковских переводов. При каждом переводе от тысячи рублей я буду понимать, что вы настроены на плодотворное сотрудничество, и буду делать все что в моих силах что бы закончить проект. 
И кстати, с вашей стороны недостойно вносить лишь часть предоплаты, настоящий мужчина всегда платит аванс в 100%!",{'count': 14261}
66550,[],"Олег, меня терзают смутные сомнения... Позвольте спросить, как ваша фамилия?",{'count': 12911}
66533,[],"Олег, клянусь! Последняя катка и сразу за проект!",{'count': 8278}
66526,[],"Олег!
Проект выполнен в срок. Где деньги за выполненную работу? 
Олег, Вам нет оправдания. 
Срочно жду оплату.",{'count': 7411}
66508,[],"Олег, ваши бесконечные правки довели меня до нервного срыва, а нервный срыв до отделения неврозов.
Так как в больнице телефон выдают всего на час, заниматься вашим проектом нет времени, а доктор вообще советуют перестать с вами общаться, как с личностью травмирующей мою психику.
Кто я такой, Олег, что бы спорить с врачом?
Всего доброго, Олег, аванс пойдет на занятия ипотерапией.",{'count': 23539}
66498,[],"Олег, в связи с тем, что сегодня работает только один Повар, мы не сможем выполнить Ваш заказ на 25 обедов. Очень благодарим за внесенную предоплату! И поздравляем с Днём Рождения! Постараемся выполнить Ваш заказ в следующие дни. Разумеется, входим в Ваше положение, но постарайтесь, пожалуйста, и Вы войти в наше...",{'count': 8033}
66478,[],"Олег, сегодня я устала",{'count': 11202}
66470,[],"Олег, нашу сегодняшнюю встречу по проекту придётся отменить. 
Дело в том, что в тот момент, когда я уже вышел из офиса, чтобы ехать к вам, я внезапно передумал. Вообще со мной такого раньше не случалось. Если уж я не приезжал к вам раньше, так это было заранее спланированное и взвешенное решение. А вот так вот чтобы надумать и вдруг резко передумать... Витамины надо бы что ли пропить.",{'count': 18998}
66455,[],"Олег, если вы сядете на берегу реки и будете сидеть достаточно долго, то мы все сдохнем и проплывем мимо вас вместе с вашим проектом.",{'count': 13815}
