post_id,post_image,post_text,post_views
4354,[],"Я сейчас расскажу вам одну историю из своей жизни, только прошу, не публикуйте ее в своем мерзком паблике

#калугин
#имл",{'count': 49265}
7071,[],"Я вот филолог и ни одного дня в макдаке не работала
#Пономарева #немецкий",{'count': 1541}
7070,[],"Вся жизнь – шантаж. Любовь – тоже шантаж. Нет? Это я пошутил.
#Казарцев #нис",{'count': 701}
7069,[],"МА: Ну у вас из научных интересов только поесть, поспать и иногда встрять в обсуждение онлайн...
*убирает кота из кадра*
Мы в чате: Это она про нас или про кота? Просто интересы действительно схожи🗿

#РЛВККП #Нестеренко",{'count': 805}
7065,[],"Я решил вам рассказать про самое интересное, что я знаю - про себя!

#Калугин #семинарнаставника",{'count': 1145}
7062,[],"Мы с вами те самые филологи, которые хотят что-то изменить в масштабах текста, а в итоге выясняется, что надо менять мир!

#Пахомова #Методы_филологических_исследований",{'count': 3087}
7059,[],"Калугин: - Сразу стало так страшно и плохо, почувствовали?
Студент: - Нет
Калугин: - Вы мне глубоко подозрительны
#Калугин #ктмл",{'count': 1177}
7058,[],"Грегор Замза стал квадробером. Кстати, мне не приходило в голову, может, он квадробером стал. Черт возьми, я близок к тому, чтобы совершить открытие! 
#Калугин #ктмл",{'count': 1148}
7057,[],"Человек не может жить без смысла, поэтому он сам создает смысл, помимо Бога. Например, ЗОЖ! Вы практикуете ЗОЖ? Ну, судя по тому, как вы выглядите - не больно. Я - нет)
#Калугин #ктмл",{'count': 1296}
7056,[],"А если жены нету, то можно подумать:«А не стать ли мне религиозным?»
#Калугин #ктмл",{'count': 928}
7055,[],"Послушайте, чем квадроберы отличаются от Грегора Замзы? Это все (у квадроберов) некоторая условность — движения, костюм, одежда.. А здесь это не условность, здесь это по-другому…
#Калугин #ктмл",{'count': 757}
7041,[],"Библиотека на самом деле ужасное место. Просто кошмар, вы представляете, какая там множественность интерпретаций!

#Пахомова #Методы_филологических_исследований",{'count': 1394}
7037,[],"Когда я был в седьмом классе... Только не пишите, пожалуйста, в отзывах на этот курс, что я рассказываю истории из своей жизни. Потому что я очень их люблю — истории из своей жизни
#Калугин",{'count': 2426}
7036,[],"Вот притырю я ваш мобильный телефон. Вы меня осудите? Нет? Он у вас хороший? 
#Калугин #ктмл",{'count': 1056}
7035,[],"Калугин: Вы меня снимаете?
Студентка: Нет, слайд
К: Да зачем? Я же все вам отсылаю.
Не смущайте
#Калугин #ктмл",{'count': 940}
7034,[],"Вы же знаете, что Winnie — женское имя? Так что да, Винни-Пух у нас genderfluid

#Якименко #теорияипрактикаперевода",{'count': 1514}
7028,[],"Я смотрю, вас все меньше, а значит, вы все больше становитесь студентами
#калугин",{'count': 1492}
7027,[],"Хочу рассказать вам немного про Бальмонта и историю его жизни. Переводить он начал тогда, когда упал с балкона. 

#Якименко #теорияипрактикаперевода",{'count': 1690}
7026,[],"Разве хороший писатель отдыхает, когда работает? Я считаю, когда работаешь, надо страдать. Русские классики завещали нам страдать. 

#Михайлова #французский",{'count': 1115}
7025,[],"Я обожаю феминистский анализ русского фольклора. Тот самый знаменитый русский народный феминизм.

#Пахомова #Методы_филологических_исследований",{'count': 1190}
7019,[],"«Я пишу схемы покойников, мне очень нравится этим заниматься»

#Пахомова #фольклор",{'count': 1084}
7018,[],"«Сейчас у нас на повестке дня черти»

#Пахомова #фольклор",{'count': 1069}
7015,[],"Лучше быть зрячим слепцом или слепым провидцем? 

НР: Безумно можно быть первым!

#хуродзе #ктмл",{'count': 1726}
7014,[],"Вы не знали? Душа только у человека есть!

#кириченко
#французский",{'count': 1387}
7011,[],"Я слишком люблю свой естественный интеллект
... 
Наверное, это звучало плохо. 

#кирина#основыбиблиографическогопоиска",{'count': 1761}
7010,[],"Транснациональную идентичность придумали люди, которые имеют возможность путешествовать по миру

#козлов #русскаяэмиграция",{'count': 1231}
7007,[],"Positivity bias не работает только в СОПе и Твиттере.

#Кирина",{'count': 1345}
7006,[],"Мы приветствуем легкий выпендреж

(с) Кирина #цифровыеметоды",{'count': 1211}
7002,[],"Мне очень нравится выражение ""Древнерусский страх перед книгой""

#Веселова #На_перекрёстке_барокко_и_Просвещения",{'count': 1673}
7001,[],"*обсуждаем сказки Шарля Перро в оригинале*

-The sleeping beauty woke up pregnant...Guess what they did to her while she was sleeping

#Якименко #теорияперевода",{'count': 1237}
6998,[],"*ДЯ берет маркер, собирается писать на доске*

«Вы привыкайте, маркер — не для того, чтобы было что-то видно»

#Калугин",{'count': 2220}
6992,[],"Вся ваша социальная жизнь — это sortir 
#Михайлова #Французский",{'count': 2503}
6987,[],"Это настоящий научный подвиг — стать тиктоковедом! Представьте себе центр тиктоковедения…
#Пахомова
#неклассическийфольклор",{'count': 2414}
6986,[],"«Так уж получилось, что я не психиатр, но я сын психиатра, внук психиатра, брат психиатра, друг психиатра, у меня и сестра психиатр»

#Азаренков 
#вестисдипломозащитныхполей",{'count': 2063}
6985,[],"Студентка: спасибо за этот интересный вопрос…
ДЯ: не за что, можете особо не благодарить! 

#Калугин
#вестисдипломозащитныхполей",{'count': 1750}
6978,[],"Этот объект мемоёмкий.
#Пахомова
#неклассичесикийфольклор",{'count': 1969}
6972,[],"этой дряни... ой.. то есть литературы

#вьюгин
#инрл",{'count': 2089}
6971,[],"студенткам: я не никогда не забуду вашу презентацию по... по... про что у вас она была?

#вьюгин #инрл",{'count': 1856}
6970,[],"Нет, ну там не то чтобы принято падать со скалы

#Панченко 
#Античка",{'count': 1518}
6969,[],"Его встретили со сдержанными объятиями

#Панченко
#Античка",{'count': 1392}
6968,[],"Ну вы помните, кто такой Хлебников. Полунищий, полусумасшедший... 

#Разувалова
#теорлит",{'count': 1355}
6959,[],"Важна не кровать, а идея кроватности

#Разувалова #теорлит",{'count': 2636}
6958,[],"Трудно сказать, почему Бодлер здесь упоминает Андромаху…может, с похмелья вышел 
#Ермакова #илеша",{'count': 1975}
6955,[],"Сегодня мы поведем с вами борьбу за кислород 
#Шансков #физра",{'count': 2054}
6953,[],"Не становитесь землеройкой
#Шансков
#физра",{'count': 2200}
6952,[],"Поэтому я призываю вас: двигайтесь, двигайтесь, НЕ СИ-ДИ-ТЕ. Нет, ну сейчас, конечно, сидите, но потом! 

#Шансков
#физра",{'count': 1963}
6949,[],"студент: в чем отличие истины от правды? 
вьюгин (беря стаканчик с кофе): это сложный философский вопрос, а нам пора на перерыв 

#вьюгин #инрл",{'count': 2019}
6948,[],"Я написал два пособия по теории литературы, ни одно из которых, к сожалению, не могу вам порекоммендовать

#зенкин
#теорлит",{'count': 2246}
6942,[],"[объясняя как читается ciseaux]

Сизо, ну как СИЗО в тюрьме. Зато запомнить легко!

#Михайлова #Французский",{'count': 1999}
6940,[],"*студентка нажимает «извлечь устройство» перед тем, как достать флешку*

А: А, вы вынимаете безопасно?
С: …. 
А: В смысле флешку! Мне нравятся староверы: последний раз так делали, наверное, году в 2009. 

#Азаренков #основылитературногомастерства",{'count': 2217}
6939,[],"*в зуме*

С: Извините, у меня Safari не работает
Т: Я даже не знаю, что такое Safari… это какая-то африканская программа?

#токарев",{'count': 1954}
6938,[],"Спорить с Аристотелем глупо, тем не менее, я попытаюсь это сделать.

#Вьюгин #Сторителлинг",{'count': 1417}
6937,[],"Сейчас вы увидите контрольные. Вам станет плохо.
Я всё объясню вам. Вам станет лучше.

#Кириченко
#Французский",{'count': 1573}
6936,[],"Куда-то у меня делся кит. Куда он делся? Куда он делся?

#Ермакова
#ИЛЕСША",{'count': 1286}
6930,[],"*за минуту до начала модульного теста*
 
- Коллеги, как вы, настроены? 
- … 
- Ну сейчас и настроитесь! 

#шушляпина #французский",{'count': 1652}
6928,[],"Я думаю, что у вас сейчас состояние Сократа перед тестом: вы знаете, что ничего не знаете. Это пройдет! C’est normal!
#шушляпина #французский",{'count': 1775}
6925,[],"С: «Доту» знаете? Ну «Доту-2»?
А (недоуменно): Лично? 

#Азаренков #основылитературногомастерства",{'count': 2026}
6924,[],"Не надо быть слишком занудным - будешь один всегда.
#Вьюгин #Сторителлинг",{'count': 1659}
6923,[],"Вас на синтаксисе знакомили с признаками моно- и биклаузальности? Нет? Можно я тоже не буду?

#Блинова #дискурс",{'count': 1769}
6922,[],"Сколько лет работаю в вышке, а до сих пор не могу запомнить, когда заканчиваются пары. Может, я профнепригодна? 

#Блинова #дискурс",{'count': 1611}
6917,[],"Я всё сломал. 
#Вьюгин #Сторителлинг",{'count': 1535}
6916,[],"Я успел всё записать. Какой я молодец.
#Вьюгин #Сторителлинг",{'count': 1495}
6911,[],"Согласно Байберу, у проповеди средний уровень развлекательности. А вы, кстати, были на проповеди? Я вот думаю, может, это правда весело. 

#Блинова #дискурс",{'count': 2036}
6907,[],"Если Бог создавал мир, то он всем категориям дал бы спецификатор, потому что это справедливо и естественно.

#Князев #теорподходы",{'count': 1699}
6906,[],"Если Бог есть, то все порождается в правильных местах. Если Бог есть, то он всем даёт по спецификатору. 

#Князев #теорподходы",{'count': 1549}
6905,[],"Я часто захожу покринжевать в разные сообщества плоскоземельцев (и других приверженцев конспирологических теорий), они сами не знают, сколько фольклора они создают на радость мне. 

#Пахомова #фольклор",{'count': 1597}
